subject-name,ID,ID-path,Level,Level 1,Level 1 ID,Level 2,Level 2 ID,Level 3,Level 3 ID,Level 4,Level 4 ID,Level 5,Level 5 ID,Level 6,Level 6 ID,Level 7,Level 7 ID,Level 8,Level 8 ID,Level 9,Level 9 ID,Level 10,Level 10 ID,Level 11,Level 11 ID,Level 12,Level 12 ID,Description,Synonyms,German Synonyms,BIC_code_1,BIC_name_1,BIC_code_2,BIC_name_2,BISAC_code_1,BISAC_name_1,BISAC_code_2,BISAC_name_2,DDC_code_1,DDC_name_1,DDC_code_2,DDC_name_2,LCC_code_1,LCC_name_1,LCC_code_2,LCC_name_2,LCSH_code_1,LCSH_name_1,LCSH_code_2,LCSH_name_2,THEMA_code_1,THEMA_name_1,THEMA_code_2,THEMA_name_2,VLB_code_1,VLB_name_1,VLB_code_2,VLB_name_2,Discipline
Nanoparticles,5657,/2867/2866/3460/2986/2987/5657/,6,Physical Sciences,2867,Materials Science,2866,Nanotechnology,3460,Nanobiotechnology,2986,Nanomaterial,2987,Nanoparticles,5657,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Nanoparticles,5657,/2867/2866/3263/2987/5657/,5,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Nanomaterial,2987,Nanoparticles,5657,,,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Nanoparticles,5657,/2867/2928/3263/2987/5657/,5,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Nanomaterial,2987,Nanoparticles,5657,,,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Nanoparticles,5657,/2867/2866/3263/5142/2987/5657/,6,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Nanophysics,5142,Nanomaterial,2987,Nanoparticles,5657,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Nanoparticles,5657,/2867/2928/3263/5142/2987/5657/,6,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Nanophysics,5142,Nanomaterial,2987,Nanoparticles,5657,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Nanoparticles,5657,/2867/2866/3148/5657/,4,Physical Sciences,2867,Materials Science,2866,Optical Materials,3148,Nanoparticles,5657,,,,,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Nanoparticles,5657,/2867/2866/3263/5657/,4,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Nanoparticles,5657,,,,,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Nanoparticles,5657,/2867/2928/3263/5657/,4,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Nanoparticles,5657,,,,,,,,,,,,,,,,,"Nanoparticles are particles that exist on a nanometre scale (i.e., below 100 nm in at least one dimension). They can possess physical properties such as uniformity, conductance or special optical properties that make them desirable in materials science and biology.","Nanocrystal, Nanocrystalline Materials, Nanocrystals, Nanocrystalline Material, Nanoparticle",Nanopartikel,TJFD,Electronic devices & materials,,,TEC021000,TECHNOLOGY & ENGINEERING / Materials Science / General,,,620.115,Nanostructured materials,,,TA418.9.N35,Nanostructured materials,,,,Nanoparticles,,,TGMM,"Engineering applications of electronic, magnetic, optical materials",,,682,"Technik/Maschinenbau, Fertigungstechnik",,,TRUE
Surface Plasmon Resonance,5659,/2867/2869/2894/2951/4287/5659/,6,Physical Sciences,2867,Chemistry,2869,Physical Chemistry,2894,Spectroscopy,2951,Optical Spectroscopy,4287,Surface Plasmon Resonance,5659,,,,,,,,,,,,,"Surface plasmon resonance (SPR) spectroscopy is a technique to detect biomolecular binding interactions. In SPR, one molecular partner is immobilized on a metallic film. Light excites surface plasmons in the metal; when the binding partner binds to the immobilized molecule, this causes a detectable change in the surface plasmon signal.",SPR spectroscopy,,,"Spectrum analysis, spectrochemistry, mass spectrometry",,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Surface Plasmon Resonance,5659,/2867/2869/2952/2951/4287/5659/,6,Physical Sciences,2867,Chemistry,2869,Analytical Chemistry,2952,Spectroscopy,2951,Optical Spectroscopy,4287,Surface Plasmon Resonance,5659,,,,,,,,,,,,,"Surface plasmon resonance (SPR) spectroscopy is a technique to detect biomolecular binding interactions. In SPR, one molecular partner is immobilized on a metallic film. Light excites surface plasmons in the metal; when the binding partner binds to the immobilized molecule, this causes a detectable change in the surface plasmon signal.",SPR spectroscopy,,,"Spectrum analysis, spectrochemistry, mass spectrometry",,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Surface Plasmon Resonance,5659,/2867/2866/3215/4287/5659/,5,Physical Sciences,2867,Materials Science,2866,Materials Characterization Technique,3215,Optical Spectroscopy,4287,Surface Plasmon Resonance,5659,,,,,,,,,,,,,,,"Surface plasmon resonance (SPR) spectroscopy is a technique to detect biomolecular binding interactions. In SPR, one molecular partner is immobilized on a metallic film. Light excites surface plasmons in the metal; when the binding partner binds to the immobilized molecule, this causes a detectable change in the surface plasmon signal.",SPR spectroscopy,,,"Spectrum analysis, spectrochemistry, mass spectrometry",,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2866/3263/5670/,4,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Neutron Scattering,5670,,,,,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2928/3263/5670/,4,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Neutron Scattering,5670,,,,,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2869/2894/4167/5670/,5,Physical Sciences,2867,Chemistry,2869,Physical Chemistry,2894,Crystallography and Scattering Methods,4167,Neutron Scattering,5670,,,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2866/3215/4167/5670/,5,Physical Sciences,2867,Materials Science,2866,Materials Characterization Technique,3215,Crystallography and Scattering Methods,4167,Neutron Scattering,5670,,,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2866/3263/4167/5670/,5,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Crystallography and Scattering Methods,4167,Neutron Scattering,5670,,,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2928/3263/4167/5670/,5,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Crystallography and Scattering Methods,4167,Neutron Scattering,5670,,,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2866/3263/3442/4167/5670/,6,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Structure of Condensed Matter,3442,Crystallography and Scattering Methods,4167,Neutron Scattering,5670,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neutron Scattering,5670,/2867/2928/3263/3442/4167/5670/,6,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Structure of Condensed Matter,3442,Crystallography and Scattering Methods,4167,Neutron Scattering,5670,,,,,,,,,,,,,"Neutron scattering, the irregular dispersal of free neutrons by matter, can refer to either the naturally occurring physical process itself or to the man-made experimental techniques that use the natural process for investigating materials. In simple terms Neutron scattering involves creating a beam of neutrons, passing that beam through a sample, and noting where (and possibly when) neutrons scattered from the sample hit a detector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2874/2873/3246/2986/2987/5672/,6,Life Sciences,2874,Biological Sciences,2873,Biotechnology,3246,Nanobiotechnology,2986,Nanomaterial,2987,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2867/2866/3460/2986/2987/5672/,6,Physical Sciences,2867,Materials Science,2866,Nanotechnology,3460,Nanobiotechnology,2986,Nanomaterial,2987,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2867/2866/3263/2987/5672/,5,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Nanomaterial,2987,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2867/2928/3263/2987/5672/,5,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Nanomaterial,2987,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2867/2866/3263/5142/2987/5672/,6,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Nanophysics,5142,Nanomaterial,2987,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2867/2928/3263/5142/2987/5672/,6,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Nanophysics,5142,Nanomaterial,2987,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2867/2866/3263/5672/,4,Physical Sciences,2867,Materials Science,2866,Condensed Matter Physics,3263,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Organic-inorganic Nanostructures,5672,/2867/2928/3263/5672/,4,Physical Sciences,2867,Physics and Astronomy,2928,Condensed Matter Physics,3263,Organic-inorganic Nanostructures,5672,,,,,,,,,,,,,,,,,"An organic-inorganic nanostructure is a nanoscale structure (that is, a structure with single units sized between 1 and 1000 nanometres) composed of an intimate combination of inorganic and organic components. As such, metal-organic frameworks (MOFs) are an example of an organic-inorganic nanostructure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Minimal intervention dentistry,5680,/2874/2879/2878/3163/4301/5680/,6,Life Sciences,2874,Health Sciences,2879,Clinical Medicine,2878,Dentistry,3163,Preventive Dentistry,4301,Minimal intervention dentistry,5680,,,,,,,,,,,,,"Minimal intervention dentistry focuses on the prevention and early detection of dental diseases, employing conservative treatment methods to preserve as much natural tooth structure as possible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Reverse engineering,5683,/2874/2873/2911/2912/2909/5683/,6,Life Sciences,2874,Biological Sciences,2873,Biological Techniques,2911,System Biology,2912,Networks and Systems Biology,2909,Reverse engineering,5683,,,,,,,,,,,,,"Reverse engineering is an attempt to analyse how an unknown machine, natural or artificial, was designed to achieve its visible function. When such a machine is sufficiently modular, as with a TV set or an insect, reverse engineering can be achieved through perturbation of each of its parts in turn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Oligodendrocyte,5690,/2874/2873/2935/3882/5490/5690/,6,Life Sciences,2874,Biological Sciences,2873,Neuroscience,2935,Cellular Neuroscience,3882,Glial Biology,5490,Oligodendrocyte,5690,,,,,,,,,,,,,"Oligodendrocytes are a type of large glial cell found in the central nervous system. Oligodendrocytes produce the myelin sheath insulating neuronal axons (analogous to Schwann cells in the peripheral nervous system), although some oligodendrocytes (called satellite oligodendrocytes) are not involved in myelination.","Perineuronal Satellite Oligodendroglia Cells, Perineuronal Oligodendroglia, Oligodendroglia, Perineuronal Satellite Oligodendrocyte, Oligodendrocytes, Interfascicular Oligodendroglias, Interfascicular Oligodendroglia, Perivascular Oligodendroglia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Climate Change Management,5691,/2925/2924/3022/3141/3138/5691/,6,Mathematics and Computing,2925,Mathematics,2924,Applications of Mathematics,3022,Mathematics of Planet Earth,3141,Climate Change,3138,Climate Change Management,5691,,,,,,,,,,,,,"Holistic and integrated way of managing climate change, including mitigation, adaptation, and risk management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Climate Change Management,5691,/2867/3039/3130/3142/3138/5691/,6,Physical Sciences,2867,Earth and Environmental Sciences,3039,Earth Sciences,3130,Climate Sciences,3142,Climate Change,3138,Climate Change Management,5691,,,,,,,,,,,,,"Holistic and integrated way of managing climate change, including mitigation, adaptation, and risk management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Osteoclasts,5698,/2874/2873/2961/3155/5699/5698/,6,Life Sciences,2874,Biological Sciences,2873,Anatomy,2961,Cell Types,3155,Macrophages,5699,Osteoclasts,5698,,,,,,,,,,,,,"Osteoclasts are one of the three cell types found in vertebrate bones. While osteoblasts are responsible for the mineralised matrix production, osteoclasts carry out its resorption. The activity of osteoclasts and osteoblasts ensures the equilibrium in bone content, and is controlled partly by osteocytes.","Odontoclast, Osteoclast, Cementoclast, Cementoclasts, Odontoclasts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Political Geography,5706,/2883/2891/3749/2900/6473/5706/,6,Humanities and Social Sciences,2883,Social Sciences,2891,Population and Demography,3749,Human Geography,2900,Social and Cultural Geography,6473,Political Geography,5706,,,,,,,,,,,,,Political geography is concerned with the study of both the spatially uneven outcomes of political processes and the ways in which political processes are themselves affected by spatial structures.,,Politische Geografie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Political Geography,5706,/2867/3039/3857/2900/6473/5706/,6,Physical Sciences,2867,Earth and Environmental Sciences,3039,Geography,3857,Human Geography,2900,Social and Cultural Geography,6473,Political Geography,5706,,,,,,,,,,,,,Political geography is concerned with the study of both the spatially uneven outcomes of political processes and the ways in which political processes are themselves affected by spatial structures.,,Politische Geografie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Political Geography,5706,/2883/2891/2902/6473/5706/,5,Humanities and Social Sciences,2883,Social Sciences,2891,Sociology,2902,Social and Cultural Geography,6473,Political Geography,5706,,,,,,,,,,,,,,,Political geography is concerned with the study of both the spatially uneven outcomes of political processes and the ways in which political processes are themselves affected by spatial structures.,,Politische Geografie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Immunoproliferative Disorders,5709,/2874/2879/2878/2877/3152/5709/,6,Life Sciences,2874,Health Sciences,2879,Clinical Medicine,2878,Diseases,2877,Immunological Disorders,3152,Immunoproliferative Disorders,5709,,,,,,,,,,,,,"Immunoproliferative disorders are a specific subgroup of immunological disorders characterized by abnormal proliferation of immune cells (e.g., lymphoproliferative diseases).","Immunoproliferative Diseases, Immunoproliferative Neoplasms, Immunoproliferative Disorder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Immunoproliferative Disorders,5709,/2874/2873/2983/3152/5709/,5,Life Sciences,2874,Biological Sciences,2873,Immunology,2983,Immunological Disorders,3152,Immunoproliferative Disorders,5709,,,,,,,,,,,,,,,"Immunoproliferative disorders are a specific subgroup of immunological disorders characterized by abnormal proliferation of immune cells (e.g., lymphoproliferative diseases).","Immunoproliferative Diseases, Immunoproliferative Neoplasms, Immunoproliferative Disorder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Inhibitory RNA techniques,5711,/2874/2873/2911/2996/5711/,5,Life Sciences,2874,Biological Sciences,2873,Biological Techniques,2911,Genetic Techniques,2996,Inhibitory RNA techniques,5711,,,,,,,,,,,,,,,"Inhibitory RNA techniques are methods that use engineered RNA molecules to inhibit gene expression. Various approaches, including the expression or injection of microRNA, short inhibiting RNA, double-stranded or antisense RNA (e.g. morpholino oligomers), work via mechanisms that include transcript cleavage, sequestration and the inhibition of protein translation.","SiRNA, RNAi, Morpholino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Inhibitory RNA techniques,5711,/2874/2873/2892/3083/2996/5711/,6,Life Sciences,2874,Biological Sciences,2873,Genetics and Genomics,2892,Molecular Genetics,3083,Genetic Techniques,2996,Inhibitory RNA techniques,5711,,,,,,,,,,,,,"Inhibitory RNA techniques are methods that use engineered RNA molecules to inhibit gene expression. Various approaches, including the expression or injection of microRNA, short inhibiting RNA, double-stranded or antisense RNA (e.g. morpholino oligomers), work via mechanisms that include transcript cleavage, sequestration and the inhibition of protein translation.","SiRNA, RNAi, Morpholino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neural Encoding,5733,/2874/2873/2911/2912/4148/5733/,6,Life Sciences,2874,Biological Sciences,2873,Biological Techniques,2911,System Biology,2912,Computational Neuroscience,4148,Neural Encoding,5733,,,,,,,,,,,,,Neural encoding is the study of how neurons represent information with electrical activity (action potentials) at the level of individual cells or in networks of neurons. Studies of neural encoding aim to characterize the relationship between sensory stimuli or behavioural output and neural signals.,Neural coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neural Encoding,5733,/2874/2873/2935/4148/5733/,5,Life Sciences,2874,Biological Sciences,2873,Neuroscience,2935,Computational Neuroscience,4148,Neural Encoding,5733,,,,,,,,,,,,,,,Neural encoding is the study of how neurons represent information with electrical activity (action potentials) at the level of individual cells or in networks of neurons. Studies of neural encoding aim to characterize the relationship between sensory stimuli or behavioural output and neural signals.,Neural coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neural Encoding,5733,/2925/2924/3022/3021/4148/5733/,6,Mathematics and Computing,2925,Mathematics,2924,Applications of Mathematics,3022,Computational Biology,3021,Computational Neuroscience,4148,Neural Encoding,5733,,,,,,,,,,,,,Neural encoding is the study of how neurons represent information with electrical activity (action potentials) at the level of individual cells or in networks of neurons. Studies of neural encoding aim to characterize the relationship between sensory stimuli or behavioural output and neural signals.,Neural coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Neural Encoding,5733,/2925/2924/2973/4149/4148/5733/,6,Mathematics and Computing,2925,Mathematics,2924,Computational Mathematics and Numerical Analysis,2973,Computational Science and Engineering,4149,Computational Neuroscience,4148,Neural Encoding,5733,,,,,,,,,,,,,Neural encoding is the study of how neurons represent information with electrical activity (action potentials) at the level of individual cells or in networks of neurons. Studies of neural encoding aim to characterize the relationship between sensory stimuli or behavioural output and neural signals.,Neural coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Somatic system,5735,/2874/2873/2961/3180/5251/5735/,6,Life Sciences,2874,Biological Sciences,2873,Anatomy,2961,Nervous System,3180,Peripheral Nervous System,5251,Somatic system,5735,,,,,,,,,,,,,"The somatic system refers to the part of the peripheral nervous system that is responsible for somatosensory function; that is, voluntary control of movement and sensing external stimuli. The somatic nervous system innervates skeletal muscles and sensory organs, and carries and integrates motor and sensory information.","Voluntary nervous system, Somatic nervous system, SoNS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Somatic system,5735,/2874/2873/2935/3558/5251/5735/,6,Life Sciences,2874,Biological Sciences,2873,Neuroscience,2935,Neuroanatomy,3558,Peripheral Nervous System,5251,Somatic system,5735,,,,,,,,,,,,,"The somatic system refers to the part of the peripheral nervous system that is responsible for somatosensory function; that is, voluntary control of movement and sensing external stimuli. The somatic nervous system innervates skeletal muscles and sensory organs, and carries and integrates motor and sensory information.","Voluntary nervous system, Somatic nervous system, SoNS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
Microfinance,5746,/2883/3032/41916/3031/3030/5746/,6,Humanities and Social Sciences,2883,Economics,3032,"Economic Development, Innovation and Growth",41916,Development Economics,3031,Development Finance,3030,Microfinance,5746,,,,,,,,,,,,,"Microfinance refers to the financial services provided to low-income individuals or groups who are typically excluded from traditional banking. Most microfinance institutions focus on offering credit in the form of small working capital loans, sometimes called microloans or microcredit. However, many also provide insurance and money transfers, and regulated microfinance banks provide savings accounts.

Microfinance aims to improve financial services access for marginalized groups, especially women and the rural poor, to promote self-sufficiency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
